Identifier,h_jkdz1,h_jkdz2,h_jkdz3,h_jkdz4,h_jkdz5,h_jkdz6,h_jkdz7,h_jkdz8,h_jkdz9,h_jkdz10,h_jkdz11,h_jkdz12,h_jkdz13,h_jkdz14,h_jkdz15,h_jkdz16,h_jkdz17,h_jkdz18,h_jkdz19,h_jkdz20,h_jkdz21,h_jkdz22,h_jkdz23,h_jkdz24,h_jkdz25,nc_jbdz11,nc_jbdz12,nc_jbdz13,nc_jbdz14,nc_jbdz15,nc_jbdz16,nc_jbdz17,nc_jbdz18,nc_jbdz19,nc_jbdz110,nc_jbdz111,nc_jbdz112,nc_jbdz113,nc_jbdz114,nc_jbdz115,nc_jbdz116,nc_jbdz117,nc_jbdz118,nc_jbdz119,nc_jbdz120,nc_jbdz121,nc_jbdz122,nc_jbdz123,nc_jbdz124,nc_jbdz125,ns_PT1,ns_PT2,ns_PT3,ns_PT4,ns_PT5,ns_PT6,ns_PT7,ns_PT8,ns_PT9,ns_PT10,ns_PT11,ns_PT12,ns_PT13,ns_PT14,ns_PT15,ns_PT16,ns_PT17,ns_PT18,ns_PT19,ns_PT20,ns_PT21,ns_PT22,ns_PT23,ns_PT24,ns_PT25,s_ZX1,s_ZX2,s_ZX3,s_ZX4,s_ZX5,s_ZX6,s_ZX7,s_ZX8,s_ZX9,s_ZX10,s_ZX11,s_ZX12,s_ZX13,s_ZX14,s_ZX15,s_ZX16,s_ZX17,s_ZX18,s_ZX19,s_ZX20,s_ZX21
group,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe
C21482,19413052,6381811.5,9748316,5326872.5,19980716,3580375.25,8256121,8079381.5,15596586,15203632,15382110,8561787,6922849.5,5089284.5,9754616,3372292,11428572,24631418,14628725,18936692,12901324,20832510,8868559,4558382.5,2980807,29728152,12492612,905705.75,5189604,4662375.5,,3475288.75,3659273.75,35212912,5516518,1437463.375,22688614,3196695,13888206,10335370,10835616,3476459.75,5978268.5,10038976,22621470,2787273,1615767.25,4821555,2532934.75,3692158,7408381.5,706789.3125,4944717.5,2131252.25,3247616.25,1862274.875,2796700.5,5698516.5,2747094,3799650,2631187.75,3763189,1770158.375,2520697.75,3850820.5,2910353.75,523655.8125,6545022.5,3882510.75,2765710.75,2033875,3317814,3547491,2552621.25,8123083,,3550283.25,2172733,3087407.75,1838198.875,1246176.625,2709312.75,1682194.25,1440095.5,1940500,1841048.5,1904348.625,3226016,737814.6875,2817697.5,3329101.25,3206752.75,1466173.875,2779300.75,2117667.5,2184310.5
C18218,2711915.25,2056393.125,1445593.625,2038764.625,2536995.75,2638197.75,2285756.75,1973140.25,2015425.375,2290841.5,1595559.25,2613526,2243057.5,3020773,1504037.25,2014572.625,2140277,2408541.5,3130740.25,2832279.25,2142064.75,1694044.25,1373866.75,2487788.25,2775336.75,4029498.5,7193157,1653247.75,3730117,2587254.75,5436452,1833060.375,3044769.25,3262892.5,3377052.75,963143.375,4355100.5,1788589.75,3235392,2668928.25,2959186.25,2122689.25,3382826.25,2331696.75,3741646.5,2756640,1193611.875,6302680.5,4577037,1578804,2179885.5,2217867,1532826.625,1534605.125,2131950.5,1896915.5,2422517.25,2240370,2522605.25,1353674.5,2346413.75,1865198.625,2102303.75,2383655,2067908.625,2696275.5,1462221.875,2032166.875,1993033.125,2206507.25,2624243,2251729.75,4277499.5,1677461.625,2191765.25,1709633.75,3044648,4767304,3296683.75,1296772,1609001,1343141.5,3154948.5,2167846.5,2215179.75,3936215.5,1409720.125,1413306.625,3218834.25,1602130.875,1317877.875,2930312.75,1168093.75,2946776.25,1417311,1474165.625
C05127,87727.25,,92387.0625,,159787.9375,,,,90551.3047,121411.4141,114883,,,148926.9375,108867.0625,162842.9688,172274.1406,110763.9844,,,,86967.1016,97204.8828,,134994.2969,55558.5234,,737338.25,,,,,,,382800.4063,447236.3438,,,,,,72638.3359,,,,126087.5,130329.7031,,63805.0156,,,,,,,,,,,146045.4063,131435.1719,,54530.2539,,126087.5,,,,,,,,,,,,,,375626.6875,,,,,,,,,,,,,,,138278.7813,,
C01152,58832828,58439344,55521328,45162136,54789520,39412592,29878764,67517264,46660312,91185240,54428164,50900124,45961476,46584384,44793192,50484920,49698760,52607356,46590096,45156712,86410192,42237988,78348400,85787848,53646032,54038776,55442916,581911680,63040568,60268820,44707448,37598936,28354576,56604036,105931272,75041656,22650684,37429512,44001312,47833048,80718240,58082448,38767700,53079220,60253772,82740768,106229968,37486384,45597960,30985554,33972912,55075860,35038124,47876900,36834464,13736294,15993807,50421888,53842892,49771780,33547958,24126178,39478684,26023212,48136404,42896220,15844550,52670512,46123972,28901148,22990472,15966365,41267688,36175020,22828518,29055914,38341448,44639564,167595312,21334626,34071448,45592532,38290620,40633580,25898102,53527376,28813136,31643576,25387666,33076038,39156984,24400592,25933746,64138676,40205884,49044876
C02918,,181554.9063,224039.1563,160939.6563,320619.4063,717655.6875,326818.2188,513580.9688,273458.2188,,475323.125,529731.3125,146630.9063,388174,411500.2813,327739.2188,307592.125,235321.6406,772060.1875,388174,467156.9688,421440.0313,181832.9688,346283.7188,475317.6875,172820.3125,574610.125,4840255.5,1111318.75,238514.5313,273708.2813,1810573.25,1572460.375,172990.1094,415568.9063,,436198.3125,,641748.125,133447.5938,230181.0313,1075484.875,194214.2344,359870.0625,,1584097.375,1078525.875,55964.4414,394705.8125,994802,,,388174,,660755.0625,740505.875,,339007.0938,,90911.3984,,297106.7813,,,67585.125,,1643862.875,182789.25,403999.4688,92063.6094,,996770.5,111804.8906,94651.2031,1387366,,,,211091.375,86413.8438,3985010,416728.125,,,452280.9688,,333724.5,,434715.2188,35321.1797,,655827.25,835970.5625,4034380.75,283935.7813,80621.6016
C16358,586823.9375,94679.0547,150204.5781,1264736.125,,245197.1875,748496.0625,,208015.625,,240326.0313,73851.0547,,768832.5,1042243,,,161674,858473.1875,318104.5625,1336654.375,79228.9766,372055.1563,,180632.1719,,,272736.125,,67548.8125,115024.5625,,181097.5,154179.375,1277418.25,58116.0859,436911.875,,62463.9258,,,133206.9063,319256.6875,391683.6563,,,156489.4531,,659455.3125,,,63139.5547,,,,215074.0938,,,,46057,,,343594.25,,128773.7109,,406146.4375,,,,305558.4375,,,,104639.2656,188031.4219,,,138136.9531,,90673.0859,,,,,,,,55402.2109,128992.8594,,,136906.9219,,101423.2266,181097.5
C00956,171657.2344,241771.5,214445.8281,160932,381430.7813,235188.3438,207352.9531,204405.0781,56043.0547,655249.3125,194074.25,571410.625,383360.625,342771.1875,,,417416.4375,241771.5,138373.7969,,397823.125,,,187095.1719,,,116614.3125,1072427.375,274607.25,234854.3906,172911.9531,308286.625,262839.1563,386414.7188,110720.2031,,66860.7656,591859.25,,224037.875,291910.2813,97546.5391,348209.0625,279292.0938,157861.9844,342318.2188,,,197832.6406,,250381.75,267081.8125,327629.9063,141113.2031,238530.6875,38495.1797,241765.6406,225071.4375,254973.9531,225093.4844,191771.0625,258449.5,169624.625,,,,,,,,,,,,205867.0469,283097.4063,307788.625,346415.625,671610.3125,168217.2344,319378.9688,319888.6563,,,,419112.5625,340322.4688,,202935.0625,,140225.1563,,,375507.125,,
C02261,96059272,74857512,82231624,82819840,102455296,107895032,70304368,107020408,96498208,92721800,105116816,72420192,66488752,106700640,94505936,86965640,60726352,68777192,126916000,90598256,87174816,109508920,135624272,111468400,87659016,112591008,96431616,55912780,165566336,284252032,272367008,151083824,149208416,95008072,61953708,47972860,110181672,256079856,111078672,133566944,88193968,108940160,107372016,196346480,352355648,79681720,298724320,97705656,69049328,103650072,65496024,62438532,90301752,64378460,162559472,101579776,54103044,89128632,88367144,65860324,152040048,90063296,84048552,69066376,53432764,94208408,76305520,59293908,110271032,97688216,62568556,105456528,69643088,86616256,149676240,91232616,76098968,52223112,85375024,59957616,,75625928,87279624,131084912,72030248,132178096,64434688,80289840,83043360,60215580,134368752,81759000,62318452,73216968,73064896,72935472
C01344,,,,,,,34745.1055,,,21793.6172,,184084.8906,45194.6289,,,19975.7207,50972.6094,201803.5469,84188.5859,65471.8242,,171623.9063,30963.5605,167745.9844,86171.8672,133831.0313,91419.3828,,,80685,,,49143.2109,91905.9297,23935.6348,,,45336.4336,75329.9531,122389.1563,162731.6563,,57145.668,,57610.2461,,,31434.5488,47895.6875,67314.125,23640.625,,27297.2598,134585.375,,,,38425.6445,,180460.5469,43664.7383,44108.6484,,,49960.4414,86040.0469,,77181.4141,,177760.6563,,,,153267.0469,42932.6797,,,,,174973.0313,,109547.6172,,,389020.0938,,87593.7188,175934.2969,,202875.8281,23366.8516,118613.5391,38246.2734,204073.0469,164594.2969,137713.7188
