Identifier,HK1cnt,HK2cnt,HK3cnt,INF2cnt,INF3cnt,INF4cnt,M01cnt,M02cnt,M03cnt
group,HK,HK,HK,INFEC,INFEC,INFEC,UN,UN,UN
ENSMUSG00000000001,4390,4003,5739,3005,3674,2221,4255,4587,3927
ENSMUSG00000000028,44,47,57,43,46,36,60,91,57
ENSMUSG00000000031,0,0,0,0,1,0,0,0,0
ENSMUSG00000000037,2,0,3,0,0,0,4,0,0
ENSMUSG00000000049,0,1,1,0,0,3,0,2,3
ENSMUSG00000000056,312,366,418,352,370,260,495,558,467
ENSMUSG00000000058,1910,1901,2582,928,1868,912,1875,2140,1830
ENSMUSG00000000078,10297,9329,14173,9478,9162,8990,9600,10182,9252
ENSMUSG00000000085,436,457,732,399,429,365,515,652,494
ENSMUSG00000000088,4787,4110,5123,4879,4338,4433,3815,4048,4094
ENSMUSG00000000093,3,6,8,0,1,3,3,3,0
ENSMUSG00000000125,2,0,0,2,0,0,0,0,0
ENSMUSG00000000126,1,7,18,6,2,30,12,2,6
ENSMUSG00000000127,877,671,857,774,593,539,717,815,824
ENSMUSG00000000131,1837,1873,2441,1424,1488,1235,2014,2274,1791
ENSMUSG00000000134,4819,5099,7343,3942,4092,3649,4920,5138,4277
ENSMUSG00000000142,1,1,0,10,0,0,0,0,0
ENSMUSG00000000148,259,300,338,218,195,237,364,399,404
ENSMUSG00000000149,8230,8341,12351,6051,8168,6486,13143,15928,12666
ENSMUSG00000000154,83,57,87,63,64,92,75,111,88
ENSMUSG00000000157,0,7,1,1,4,0,3,1,1
ENSMUSG00000000167,19,11,29,6,11,23,20,17,19
ENSMUSG00000000168,757,796,1142,670,792,693,1029,1192,958
ENSMUSG00000000171,4245,3680,4571,3680,3728,3517,4419,5017,4487
ENSMUSG00000000184,168,154,154,99,61,97,76,84,55
ENSMUSG00000000194,1459,1188,1959,1067,1144,1153,1287,1546,1204
ENSMUSG00000000202,0,0,0,6,0,0,0,2,1
ENSMUSG00000000204,5,2,2,5,0,4,3,3,2
ENSMUSG00000000223,0,0,3,0,0,0,0,0,0
ENSMUSG00000000244,152,142,158,172,123,217,249,257,241
ENSMUSG00000000247,1,0,4,0,0,0,0,3,1
ENSMUSG00000000253,295,307,416,267,297,282,409,459,384
