reaction_id	reaction_name	protein_coverage	compound_coverage	all_coverage	protein	observed_protein_count	all_protein_count	compound	observed_compound_count	all_compound_count	pathway_ids	pathway_names
R-MMU-70599	aspartate + glutamine + ATP <=> asparagine + glutamate + AMP + pyrophosphate [ASNS]	1.00	0.75	0.78	Q61024 (ENSMUSG00000029752)	1	1	C00013:C00020:C00025:C00049:C00064:C00152	6	8	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-507775	alanine + alpha-ketoglutarate <=> pyruvate + glutamate [GPT2]	1.00	0.75	0.80	Q8BGT5 (ENSMUSG00000031700)	1	1	C00025:C00026:C00041	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70523	alanine + alpha-ketoglutarate <=> pyruvate + glutamate [GPT]	1.00	0.75	0.80	Q8QZR5 (ENSMUSG00000022546)	1	1	C00025:C00026:C00041	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70524	pyruvate + glutamate <=> alanine + alpha-ketoglutarate [GPT]	1.00	0.75	0.80	Q8QZR5 (ENSMUSG00000022546)	1	1	C00025:C00026:C00041	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-507749	pyruvate + glutamate <=> alanine + alpha-ketoglutarate [GPT2]	1.00	0.75	0.80	Q8BGT5 (ENSMUSG00000031700)	1	1	C00025:C00026:C00041	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70654	ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	1.00	0.75	0.80	P29758 (ENSMUSG00000030934)	1	1	C00025:C00026:C00077	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-74213	Adenine + PRPP => AMP + PPi	1.00	0.75	0.80	P08030 (ENSMUSG00000006589)	1	1	C00013:C00020:C00147	3	4	R-MMU-74217	Purine salvage
R-MMU-70666	glutamate + L-glutamate gamma-semialdehyde <=> ornithine + alpha-ketoglutarate [OAT]	1.00	0.75	0.80	P29758 (ENSMUSG00000030934)	1	1	C00025:C00026:C00077	3	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70560	carbamoyl phosphate + ornithine => citrulline + orthophosphate	0.00	0.75	0.60		0	1	C00009:C00077:C00327	3	4	R-MMU-70635	Urea cycle
R-MMU-70952	alpha-aminoadipate + alpha-ketoglutarate <=> alpha-ketoadipate + glutamate	0.00	0.75	0.60		0	1	C00025:C00026:C00956	3	4	R-MMU-71064	Lysine catabolism
R-MMU-893583	kynurenine + 2-oxoglutarate => 4-(2-aminophenyl)-2,4-dioxobutanoic acid + glutamate	0.00	0.75	0.60		0	1	C00025:C00026:C00328	3	4	R-MMU-71240	Tryptophan catabolism
R-MMU-508561	alpha-ketoadipate + glutamate <=> alpha-aminoadipate + alpha-ketoglutarate	0.00	0.75	0.60		0	1	C00025:C00026:C00956	3	4	R-MMU-71064	Lysine catabolism
R-MMU-70592	aspartate + alpha-ketoglutarate <=> oxaloacetate + glutamate [GOT1]	1.00	0.60	0.67	P05201 (ENSMUSG00000025190)	1	1	C00025:C00026:C00049	3	5	R-MMU-70614:R-MMU-70263	Amino acid synthesis and interconversion (transamination):Gluconeogenesis
R-MMU-70581	oxaloacetate + glutamate <=> aspartate + alpha-ketoglutarate [GOT1]	1.00	0.60	0.67	P05201 (ENSMUSG00000025190)	1	1	C00025:C00026:C00049	3	5	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70577	ASS1 tetramer:NMRAL1 dimer:NADPH transforms L-Asp and L-Cit to ARSUA	1.00	0.57	0.67	P16460 (ENSMUSG00000076441):Q8K2T1 (ENSMUSG00000063445)	2	2	C00013:C00020:C00049:C00327	4	7	R-MMU-70635	Urea cycle
R-MMU-70634	ornithine (cytosolic) + citrulline (mitochondrial) => ornithine (mitochondrial) + citrulline (cytosolic)	1.00	0.50	0.60	Q99ML6 (ENSMUSG00000050304)	1	1	C00077:C00327	2	4	R-MMU-70635	Urea cycle
R-MMU-73792	XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	1.00	0.50	0.56	Q3THK7 (ENSMUSG00000027823)	1	1	C00013:C00020:C00025:C00064	4	8	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-1237160	MTA is cleaved and phosphorylated	1.00	0.50	0.60	Q9CQ65 (ENSMUSG00000062937)	1	1	C00009:C00147	2	4	R-MMU-1237112:R-MMU-1237112	Methionine salvage pathway:Methionine salvage pathway
R-MMU-893593	phenylalanine + pyruvate => 3-(indol-3-yl)pyruvate + alanine	1.00	0.50	0.60	Q8BTY1 (ENSMUSG00000039648)	1	1	C00041:C00079	2	4	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-893616	glutamine + pyruvate => 2-oxoglutaramate + alanine	1.00	0.50	0.60	Q8BTY1 (ENSMUSG00000039648)	1	1	C00041:C00064	2	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70606	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL]	1.00	0.50	0.57	P15105 (ENSMUSG00000026473)	1	1	C00009:C00025:C00064	3	6	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-71732	pyrophosphate + H2O => 2 orthophosphate [cytosolic]	1.00	0.50	0.60	Q9D819 (ENSMUSG00000020089)	1	1	C00013:C00009	2	4	R-MMU-71737	Pyrophosphate hydrolysis
R-MMU-197250	NAMPT transfers PRIB to NAM to form NAMN	1.00	0.50	0.60	Q99KQ4 (ENSMUSG00000020572)	1	1	C00013:C00153	2	4	R-MMU-197264	Nicotinamide salvaging
R-MMU-70609	glutamine + H2O => glutamate + NH4+ [GLS]	1.00	0.50	0.67	Q571F8 (ENSMUSG00000044005):D3Z7P3 (ENSMUSG00000026103)	2	2	C00025:C00064	2	4	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-376851	Exchange of alpha-ketoglutarate (2-oxoglutarate) and malate across the inner mitochondrial membrane	1.00	0.50	0.60	Q9CR62 (ENSMUSG00000014606)	1	1	C00149:C00026	2	4	R-MMU-70263	Gluconeogenesis
R-MMU-372843	malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix]	1.00	0.50	0.60	Q9QZD8 (ENSMUSG00000025792)	1	1	C00009:C00149	2	4	R-MMU-70263	Gluconeogenesis
R-MMU-70724	leu, ile, or val + alpha-ketoglutarate <=> a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate [BCAT2]	1.00	0.50	0.56	O35855 (ENSMUSG00000030826)	1	1	C00025:C00183:C00123:C00026	4	8	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-197271	NADSYN1 hexamer amidates NAAD to NAD+	1.00	0.50	0.56	Q711T7 (ENSMUSG00000031090)	1	1	C00013:C00020:C00025:C00064	4	8	R-MMU-196807	Nicotinate metabolism
R-MMU-508179	a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate <=> leu, ile, or val + alpha-ketoglutarate [BCAT2]	1.00	0.50	0.56	O35855 (ENSMUSG00000030826)	1	1	C00025:C00183:C00123:C00026	4	8	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-6788912	LHPP:Mg2+ dimer hydrolyses PPi	1.00	0.50	0.60	Q9D7I5 (ENSMUSG00000030946)	1	1	C00013:C00009	2	4	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-198440	malate [mitochondrial matrix] + alpha-ketoglutarate [cytosol] <=> malate [cytosol] + alpha-ketoglutarate [mitochondrial matrix]	1.00	0.50	0.60	Q9CR62 (ENSMUSG00000014606)	1	1	C00149:C00026	2	4	R-MMU-70263	Gluconeogenesis
R-MMU-73567	orotate + 5-phospho-alpha-D-ribose 1-diphosphate (PRPP) <=> orotidine 5'-monophosphate (OMP) + pyrophosphate	1.00	0.50	0.60	P13439 (ENSMUSG00000022814)	1	1	C00013:C00295	2	4	R-MMU-500753	Pyrimidine biosynthesis
R-MMU-449937	pyrophosphate + H2O => 2 orthophosphate [mitochondrial]	1.00	0.50	0.60	Q91VM9 (ENSMUSG00000028013)	1	1	C00013:C00009	2	4	R-MMU-71737	Pyrophosphate hydrolysis
R-MMU-73573	carbamoyl phosphate + L-aspartate <=> N-carbamoyl L-aspartate + orthophosphate	1.00	0.50	0.60	B2RQC6 (ENSMUSG00000013629)	1	1	C00009:C00049	2	4	R-MMU-500753	Pyrimidine biosynthesis
R-MMU-372448	SLC25A12,13 exchange cytosolic L-Glu for mitochondrial matrix L-Asp	1.00	0.50	0.67	Q9QXX4 (ENSMUSG00000015112):Q8BH59 (ENSMUSG00000027010)	2	2	C00025:C00049	2	4	R-MMU-70263	Gluconeogenesis
R-MMU-71275	arginine + glycine => ornithine + guanidoacetate	1.00	0.50	0.60	Q9D964 (ENSMUSG00000027199)	1	1	C00037:C00077	2	4	R-MMU-71288	Creatine metabolism
R-MMU-176606	Adenosine 3',5'-bisphosphate (PAP) + H2O => AMP + orthophosphate	1.00	0.50	0.60	Q9Z0S1 (ENSMUSG00000026617)	1	1	C00009:C00020	2	4	R-MMU-156584	Cytosolic sulfonation of small molecules
R-MMU-2993447	HLCS biotinylates PCCA:PCCB	0.60	0.50	0.56	Q91ZA3 (ENSMUSG00000041650):Q920N2 (ENSMUSG00000040820):Q99MN9 (ENSMUSG00000032527)	3	5	C00013:C00020	2	4	R-MMU-196780	Biotin transport and metabolism
R-MMU-2993799	HLCS biotinylates MCCC1:MCCC2	0.60	0.50	0.56	Q3ULD5 (ENSMUSG00000021646):Q99MR8 (ENSMUSG00000027709):Q920N2 (ENSMUSG00000040820)	3	5	C00013:C00020	2	4	R-MMU-196780	Biotin transport and metabolism
R-MMU-111746	glutaredoxin (oxidized) + glutathione (reduced) => glutaredoxin (reduced) + glutathione (oxidized)	0.33	0.50	0.40	Q9QUH0 (ENSMUSG00000021591)	1	3	C00051	1	2	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-429730	multiphospho-CERT:PPM1L:VAPA/B + 3 H2O => CERT:PPM1L:VAPA/B + 3 orthophosphate	0.33	0.50	0.36	Q8BH80 (ENSMUSG00000054455):Q9EQG9 (ENSMUSG00000021669):Q9WV55 (ENSMUSG00000024091):Q8BHN0 (ENSMUSG00000027784)	4	12	C00009	1	2	R-MMU-1660661	Sphingolipid de novo biosynthesis
R-MMU-508189	a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate <=> leu, ile, or val + alpha-ketoglutarate [BCAT1]	0.00	0.50	0.44		0	1	C00025:C00183:C00123:C00026	4	8	R-MMU-70895	Branched-chain amino acid catabolism
