pid,sec_id,mass,rt,polarity,c_id,formula,adduct,rc_id,compound,db,identifier
741583,1,147.0763812745,905.0006256104,positive,2825862,C5H10N2O3,M+H,3453657,L-Glutamine,kegg,C00064
741598,16,162.0761389264,891.9661768133,positive,2826034,C6H11NO4,M+H,3453882,L-2-Aminoadipate,kegg,C00956
741599,17,116.0705964162,771.4123757102,positive,2826041,C5H9NO2,M+H,3453891,L-Proline,kegg,C00148
741611,29,132.1019185500,677.2614732222,positive,2826103,C6H13NO2,M+H,3453976,L-Leucine,kegg,C00123
741680,98,132.1019185206,646.3855923739,positive,2826221,C6H13NO2,M+H,3454135,L-Leucine,kegg,C00123
741741,159,118.0862384873,675.0438010476,positive,2826784,C5H11NO2,M+H,3454797,Betaine,kegg,C00719
741742,160,127.0502100982,680.1049957275,positive,2826804,C5H6N2O2,M+H,3454828,Imidazole-4-acetate,kegg,C02835
741748,166,132.0655498442,870.7466416792,positive,2826829,C5H9NO3,M+H,3454869,Hydroxyproline,kegg,C01157
741751,169,180.0866369930,866.2846970992,positive,2826867,C6H13NO5,M+H,3454924,D-Glucosamine,kegg,C00329
741754,172,114.0662199469,575.7690915194,positive,2826884,C4H7N3O,M+H,3454944,Creatinine,kegg,C00791
741759,177,136.0618347026,568.6687913374,positive,2826895,C5H5N5,M+H,3454959,Adenine,kegg,C00147
741804,222,150.0583540298,688.8625973788,positive,2827419,C5H11NO2S,M+H,3455583,L-Methionine,kegg,C00073
741805,223,205.0972326682,694.1678702615,positive,2827424,C11H12N2O2,M+H,3455591,L-Tryptophan,kegg,C00078
741814,232,123.0552803776,401.7995841286,positive,2827465,C6H6N2O,M+H,3455650,Nicotinamide,kegg,C00153
741820,238,148.0604072152,879.4644969593,positive,2827472,C5H9NO4,M+H,3455661,L-Glutamate,kegg,C00025
741823,241,166.0862943350,606.7176583030,positive,2827504,C9H11NO2,M+H,3455707,L-Phenylalanine,kegg,C00079
741834,252,118.0862382640,751.4092601429,positive,2827547,C5H11NO2,M+H,3455766,L-Valine,kegg,C00183
