identifier,UN_1,UN4,INFEC_1,INFEC_2,INFEC_3,INFEC_4,HK1,HK2,HK3,HK4
C00064,395020480.0,289368320.0,257776768.0,161851648.0,403047296.0,182654768.0,285778848.0,315729216.0,314446880.0,278574080.0
C00956,154625.75,120014.64,115290.89,99417.42,159995.63,149107.03,140585.77,113691.5,102967.8,101951.2
C00148,103344792.0,116003720.0,68319224.0,104547568.0,168765744.0,61559464.0,124077552.0,59860940.0,97139536.0,72831088.0
C00123,82202224.0,59370208.0,50557656.0,42253736.0,98747392.0,38298496.0,66018808.0,58046620.0,66078220.0,59227068.0
C00123,72792224.0,53542500.0,43307316.0,34981932.0,86632200.0,32244136.0,59959860.0,49939480.0,55866372.0,52418664.0
C00719,41812716.0,39106572.0,28304076.0,20651028.0,55936988.0,25157784.0,33059604.0,29422454.0,33477048.0,30216736.0
C02835,83046.88,127687.81,64107.03,90700.8,131612.09,81136.29,78452.04,53573.14,90366.37,64429.58
C01157,64405152.0,45643672.0,38442972.0,31296332.0,70251200.0,29767398.0,46127268.0,43981856.0,47054116.0,45183848.0
C00329,379360.34,284598.69,211026.92,194151.5,374550.38,162274.45,276855.03,255602.09,283920.72,271148.0
C00791,46515704.0,33964100.0,28058656.0,17411056.0,63340688.0,20037896.0,36862304.0,31986022.0,35870712.0,30911854.0
C00147,311675.69,484230.19,369461.66,441119.44,302268.34,277285.09,292196.03,309401.94,284956.63,328619.78
C00073,24893112.0,18339190.0,15729877.0,12179661.0,28894814.0,11259329.0,19574206.0,16460079.0,19851168.0,20175256.0
C00078,2153219.0,1682301.13,1391534.88,1083954.88,2724574.0,918230.19,1948600.88,1545008.38,1847819.75,1635049.88
C00153,56778100.0,374326.78,273016.56,160104.91,20331072.0,215279.69,35284336.0,371407.66,422289.88,11545227.0
C00025,20977542.0,18792648.0,21756356.0,17123612.0,37839940.0,19147462.0,26416422.0,20081542.0,22863020.0,20091068.0
C00079,18872996.0,13071569.0,11804690.0,9135548.0,21632006.0,8651260.0,15441892.0,13731812.0,14907768.0,13307085.0
C00183,28375924.0,18906186.0,16595092.0,13404253.0,35404264.0,13457660.0,21989044.0,15714898.0,21342188.0,17754004.0
C00037,1340801.63,1048188.25,759096.0,854259.56,1467937.75,662653.81,1084838.38,766316.81,994945.63,830652.13
C00314,19113122.0,15029363.0,12272805.0,9540177.0,22369454.0,9151754.0,15048909.0,13696439.0,15757410.0,13629805.0
C00262,7585209.5,5403460.0,5667061.0,4467421.0,4510187.5,3939203.5,6750819.0,5992062.5,6340061.0,5575170.0
C00064,5083708.0,5545231.5,3446718.75,1854446.25,4431097.0,2268096.0,3318825.25,4319038.0,3822935.25,3675369.5
C00334,3692144.5,5306047.5,5233458.0,5261331.5,4761426.0,6491849.0,7659911.0,7524919.0,8467861.0,8747420.0
C00077,1861422.25,2249537.75,2388441.75,1812233.0,5175261.0,1805337.5,2832113.5,1609296.13,2083633.38,1593964.5
C00065,7304180.0,6284249.0,4217139.5,5074829.0,8652145.0,3678221.75,6400182.0,4705534.5,6393429.0,5126826.0
C00152,8656610.0,6206183.0,4839483.0,4181487.5,10543948.0,3568976.25,6571437.0,6045554.0,6846351.0,5310481.0
C00051,656848.19,830609.19,889355.06,822675.81,962527.63,1227659.38,1198967.5,1017580.19,1532543.25,1158258.38
C00327,1448656.25,1676313.5,5010874.5,4854763.5,5116959.0,4775208.5,2683585.0,866469.75,1206847.25,948230.75
C00318,6551867.5,5883922.5,5770564.0,5190652.0,9585327.0,6394131.5,10823366.0,6660092.0,10017529.0,8221882.0
C00041,3537903.0,2808829.75,4275319.0,3713087.0,7178702.0,3782108.25,3134556.25,2539419.5,2901517.75,2443864.0
C00099,3537903.0,2808829.75,4275319.0,3713087.0,7178702.0,3782108.25,3134556.25,2539419.5,2901517.75,2443864.0
C00041,1156197.88,1543129.75,1947498.13,1587579.13,1784141.63,1735123.0,2138287.75,2051707.13,2303002.0,2128602.75
C00099,1156197.88,1543129.75,1947498.13,1587579.13,1784141.63,1735123.0,2138287.75,2051707.13,2303002.0,2128602.75
C00152,4223196.0,3261005.5,3433996.0,4181487.5,4675629.5,3568976.25,3658932.25,2967192.25,2398691.5,4718267.0
C00568,116485.1,676437.81,113924.48,129856.66,196733.34,641023.88,127126.09,70428.89,77039.01,99547.08
C00864,1132784.5,687088.81,590317.19,395084.0,1314228.25,535786.19,709273.75,642906.31,752541.06,622954.44
C00346,1068876.75,1061902.63,1307441.63,1150950.13,1093316.5,1198831.25,1184120.88,1325692.13,1631083.38,1298493.75
C00009,381401.81,312837.72,479578.5,230005.63,232082.92,449130.78,236607.39,536029.5,321735.0,380636.19
C01157,267661.09,778467.75,305019.69,223663.31,496450.28,230913.23,279744.53,253220.13,237294.63,459124.97
C00328,79343.88,59521.78,57419.87,24430.91,108391.03,50102.23,75763.76,81087.27,76119.13,52710.16
C00242,36895.65,57458.73,61731.3,94022.72,36331.04,64446.19,56311.27,97092.33,33586.61,45131.51
C00475,324308.75,278494.0,211754.72,135861.31,411810.72,132678.16,230510.19,251907.22,258927.56,229074.64
C02711,51791.46,67988.02,57093.72,27064.69,57873.11,35467.26,54252.97,45455.45,51026.3,63463.75
C00140,51791.46,67988.02,57093.72,27064.69,57873.11,35467.26,54252.97,45455.45,51026.3,63463.75
C00020,83745.11,135613.81,66545.36,186587.56,129466.49,128112.98,87448.2,78115.14,79525.53,97963.03
C00270,276926.63,268938.75,353509.94,249828.33,334719.66,365428.69,338969.56,325629.03,408556.91,345546.78
