"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1","147.0764","903.03","285249248","230672720","351206912","131465184","28375226","232893424","88014288","215446448","222135648","220575440","308353312","141949280","340901952","333231136","584093504","488683776","642016320","435540448","402546528","360635776","332945440","425512000","690413568","positive","Annotate in FrAnK","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045,Std1_1_20170612_135637_27"
"2","184.0734","904.97","833220.19","610636.75","735502","957144.06","161853.38","3133370.5","2251435","3578790.75","1309269.63","996625.5","1070597.88","830404.19","15052926","14156780","15501153","15526869","16589301","15328623","13608365","13517428","13281249","13084539","10944131","positive","Annotate in FrAnK","(R)-Boschniakine,1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one,2,3-Dihydrobenzofuran,2-Methylbenzaldehyde,2-amino-heptanoic acid,2R-aminoheptanoic acid,2S-aminoheptanoic acid,3,4-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole,3-Dehydroxycarnitine,3-Methylbenzaldehyde,3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole,4-Hydroxystyrene,4-Methylbenzaldehyde,Acetophenone,Boschniakine,Choline phosphate,Indole-3-ethanol,Lentialexin,Phenylacetaldehyde,Styrene Oxide,Styrene oxide,Tryptophanol,p-Tolualdehyde","C00601,C00955,C02083,C05627,C06758,C07113,C07209,C07214,C09915,HMDB03447,HMDB04072,HMDB06236,HMDB06831,HMDB13815,HMDB29636,HMDB29637,HMDB29638,HMDB30267,HMDB33910,HMDB38997,HMDB40028,HMDB40042,HMDB40048,HMDB62765,LMFA01100013,LMFA01100014,LMFA01100015,Std2_1_20170612_135749_34"
"3","171.0764","903.14","6503172.5","5598509.5","7996244.5","3531844.5","791184.75","5895930.5","2263274.5","5605419","5642049","5794242.5","7367890","3844558.5","6716710","6701731","9461089","8460191","10150987","8517525","8683676","6390117","8653266","7440237.5","12743321","positive","Annotate in FrAnK","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid,1-Pyrroline-4-hydroxy-2-carboxylate,4-Oxoproline,5-Oxo-D-proline,5-Oxoprolinate,L-1-Pyrroline-3-hydroxy-5-carboxylate,N-Acryloylglycine,N-Nitrosoguvacoline,Pidolic acid,Pyroglutamic acid,Pyrrolidonecarboxylic acid,Pyrroline hydroxycarboxylic acid,dimethadione","C01877,C01879,C02237,C04281,C04282,C19482,HMDB00267,HMDB00805,HMDB01369,HMDB01843,HMDB02234,HMDB60262,HMDB61093,HMDB62585"
"4","151.0478","901.38","571575.44","546929.63","805307.06","273799","64002.02","409192.53","160893.22","440385.81","621093.06","555070.75","946722.06","300990.72","1379727.88","1301647.25","2499329","2016091.13","2528855.75","1912151.13","1759656.63","1420748.75","1693647.63","1747583.63","3081736.5","positive","Annotate in FrAnK","2-Aminoacrylic acid,2-Oxazolidinone,2-amino-4-cyano-butanoic acid,3-Isoxazolidinone,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Aminoacrylate,Dehydroalanine,Dihydrothymine,L-Cyclo(alanylglycyl),Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C02218,C05715,C05717,C06695,C20253,HMDB00079,HMDB03609,HMDB29874,HMDB31547,HMDB39426,HMDB62558,LMFA01100037,LMFA01100038"
"5","315.1273","902.1","198934.44","NA","306018.66","NA","NA","NA","NA","NA","NA","NA","265538.09","NA","263642.88","350670.59","900502.88","742384","988245.69","657000.38","437498.84","476594.19","405700.5","399801.56","1341911.88","positive","No Fragments","",""
"6","358.1639","903.1","325239.59","293762.84","426397.13","75484.08","NA","166589.05","27778.19","225756.98","272649.16","248440.98","389062.34","72989.67","455259.41","388585","733052.06","671677.81","897269.69","584747.31","548941.31","409357.53","471991","573618.63","777015","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Alosetron,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB15104,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"7","380.1458","903.18","239889.09","232512.48","251032.88","NA","NA","148137.89","NA","228344.3","203574.22","211301.45","396902.56","140781.69","568784.06","265829.78","558702.69","639004.44","609178.69","598184.88","405769.88","458833.94","364077.78","507986.84","525549.19","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"8","402.1277","902.87","302484.78","212555.25","374096.19","94064.4","NA","205237.75","NA","232137.66","244720.45","261525.42","361415.31","169430.58","269653.53","258681.64","331869.47","342689.56","396457.09","415516.66","367467.81","352737.66","359563.25","275259.63","515562.19","positive","No Fragments","",""
"9","187.0304","902.94","79292","128338.7","156644.94","NA","NA","NA","NA","110747.76","NA","109069.15","166890.42","39381.52","170072.3","141798","302253.69","239220.81","324041.25","272124.5","202945.28","236809.8","150918.94","228484.53","242592.58","positive","No Fragments","Thien-2-ylacetonitrile","C03311"
"10","188.0931","435.2","282272256","82753368","629276160","35335972","NA","14363264","7448100.5","36617908","459903936","5790708","5078437","NA","5874697","6837394.5","6713407","6770025.5","7157780","5169197","4397589","7762059.5","10795852","10586096","16203860","positive","Annotate in FrAnK","",""
