"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1","147.0764","905.18","395020480","289368320","257776768","161851648","403047296","182654768","285778848","315729216","314446880","278574080","182776304","526251200","216531680","288792480","177597792","139652272","231447184","317408192","149104848","234441952","399394144","positive","Annotate in FrAnK","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045,Std1_1_20170612_135637_27"
"2","171.0764","905.01","9079840","6973341","6960773.5","3889198.75","9469953","4283163","6574686","7404907.5","7629849","5938572","3732846","9789597","5394338","5857861","4189620.25","3923220.75","4947414","6180544","3482389.5","4851312.5","7640548.5","positive","Annotate in FrAnK","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid,1-Pyrroline-4-hydroxy-2-carboxylate,4-Oxoproline,5-Oxo-D-proline,5-Oxoprolinate,L-1-Pyrroline-3-hydroxy-5-carboxylate,N-Acryloylglycine,N-Nitrosoguvacoline,Pidolic acid,Pyroglutamic acid,Pyrrolidonecarboxylic acid,Pyrroline hydroxycarboxylic acid,dimethadione","C01877,C01879,C02237,C04281,C04282,C19482,HMDB00267,HMDB00805,HMDB01369,HMDB01843,HMDB02234,HMDB60262,HMDB61093,HMDB62585"
"3","151.0478","903.66","973114.19","943333.75","654349.81","320942.19","1096783.63","291107.75","713782","829484.81","842249","585176.44","765831.44","2289738","786295.25","1199059.63","790790.13","469816.97","938440.31","1426503.63","624843.06","1045088.44","1559588.13","positive","Annotate in FrAnK","2-Aminoacrylic acid,2-Oxazolidinone,2-amino-4-cyano-butanoic acid,3-Isoxazolidinone,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Aminoacrylate,Dehydroalanine,Dihydrothymine,L-Cyclo(alanylglycyl),Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C02218,C05715,C05717,C06695,C20253,HMDB00079,HMDB03609,HMDB29874,HMDB31547,HMDB39426,HMDB62558,LMFA01100037,LMFA01100038"
"4","358.1639","905.23","659134.19","300419.78","345849.22","175617.34","570069.19","174276.03","383025.72","432502.41","583344.13","206749.66","226397.44","609963.88","185527.5","414942.84","218348.69","206145.64","271437.72","379467.78","143533.27","284570.34","403941.28","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Alosetron,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB15104,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"5","380.1458","905.77","350100.38","270301.81","219935.03","138481.02","447617.34","72580.04","352576.13","365256.88","340454.91","338232.78","219730.81","658880","192455.05","405919.44","205501.28","197961.67","372933.5","365046.75","215898.92","250747.67","416731.56","positive","No Fragments","(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
"6","402.1277","905.73","355398.47","243417.81","246547.3","140896.5","558778.19","156987.55","298229.69","389146.53","379696.5","246873.34","167150.91","478081.16","214823","225652.44","244883.84","169160.08","230238.69","252505.22","169318.78","180260.44","321487.41","positive","No Fragments","",""
"7","127.0727","696.03","1341720.63","5439953","732236.63","1920362","889602.06","952596.88","621276.44","850523","559654.94","532057.19","432891.63","1234611.75","19072690","5308555","447024.28","665300.63","1141313.25","1913677.88","409520.34","488167.47","282787680","positive","Melamine (C3H6N6) Prob = 98.5900000000","Melamine","C08737,HMDB41922"
"8","122.0812","917.57","23945040","48889468","63018200","116197456","21367568","180930736","15878892","7224984.5","4408871.5","182000480","4195261.5","5844628.5","2827723.75","9374507","5171832.5","3365696","3391174","11369531","4683163","2023558.13","263952528","positive","2-Amino-2-(hydroxymethyl)-1,3-propanediol (C4H11NO3) Prob = 97.2600000000","Tromethamine","C07182"
"9","333.1688","911.97","838444.81","1442830","1625606.25","1750790.5","950171.75","2444857.5","585227.44","358783.56","246808.47","3532638","19391.94","102509.3","NA","79912.34","26829.63","NA","32707.79","120064.09","NA","NA","1602608.88","positive","No Fragments","(R)-Marmin,Gibberellin A20,Gibberellin A4,Gibberellin A45,Gibberellin A51,Gibberellin A61,Gibberellin A70,Trichothecin","C02035,C09742,C11864,C11865,HMDB30787,HMDB34987,HMDB35041,HMDB35042,HMDB38014,LMPR0104170004,LMPR0104170021,LMPR0104170022"
"10","132.0767","885.53","131537344","128101592","118354888","97892280","145060640","97634784","121024176","122869776","125891144","126622480","145903360","188980912","150150736","174624816","134273536","134855840","124760680","163543264","131055536","159818976","163015584","positive","CREATINE (C4H9N3O2) Prob = 97.3800000000","3-Guanidinopropanoate,Beta-Guanidinopropionic acid,Creatine,Methylazoxymethanol,N-(Hydroxymethyl)urea,alpha-Hydroxy-NDMA","C00300,C02390,C03065,C06384,C20301,HMDB00064,HMDB13222"
