Peak id,Mass,RT,UN_1.mzXML,UN4.mzXML,INFEC_1.mzXML,INFEC_2.mzXML,INFEC_3.mzXML,INFEC_4.mzXML,HK1.mzXML,HK2.mzXML,HK3.mzXML,HK4.mzXML,Polarity,FrAnK Annotation,PiMP Annotation,KEGG ID
1,147.0764,905,395020480,289368320,257776768,161851648,403047296,182654768,285778848,315729216,314446880,278574080,positive,Annotate in FrAnK,"2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045,Std1_1_20170612_135637_27"
2,156.0768,917.24,7686279.5,6820364.5,5529046,4672629,10444900,3589490.5,6862975.5,6720417,7340054.5,5869848.5,positive,L-Histidine (C6H9N3O2) Prob = 98.8800000000,"2,5-Dioxopiperazine,3-(Pyrazol-1-yl)-L-alanine,3-Cyano-L-alanine,5,6-Dihydrouracil,D-Histidine,Dihydrouracil,Histidine,L-2-Amino-3-(1-pyrazolyl)propanoic acid,L-3-Cyanoalanine,L-Histidine,Muscimol,N-Methylhydantoin","C00135,C00429,C00768,C01162,C02512,C02565,C02777,C06419,C08311,HMDB00076,HMDB00177,HMDB03646,HMDB34267,HMDB60245"
3,171.0764,904.98,9079840,6973341,6960773.5,3889198.75,9469953,4283163,6574686,7404907.5,7629849,5938572,positive,Annotate in FrAnK,"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid,1-Pyrroline-4-hydroxy-2-carboxylate,4-Oxoproline,5-Oxo-D-proline,5-Oxoprolinate,L-1-Pyrroline-3-hydroxy-5-carboxylate,N-Acryloylglycine,N-Nitrosoguvacoline,Pidolic acid,Pyroglutamic acid,Pyrrolidonecarboxylic acid,Pyrroline hydroxycarboxylic acid,dimethadione","C01877,C01879,C02237,C04281,C04282,C19482,HMDB00267,HMDB00805,HMDB01369,HMDB01843,HMDB02234,HMDB60262,HMDB61093,HMDB62585"
4,151.0478,903.42,973114.19,943333.75,654349.81,320942.19,1096783.63,291107.75,713782,829484.81,842249,585176.44,positive,Annotate in FrAnK,"2-Aminoacrylic acid,2-Oxazolidinone,2-amino-4-cyano-butanoic acid,3-Isoxazolidinone,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Aminoacrylate,Dehydroalanine,Dihydrothymine,L-Cyclo(alanylglycyl),Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C02218,C05715,C05717,C06695,C20253,HMDB00079,HMDB03609,HMDB29874,HMDB31547,HMDB39426,HMDB62558,LMFA01100037,LMFA01100038"
5,315.1273,904.25,505043.44,180859.09,173370.22,NA,589896.56,NA,172630.77,296470.88,347985.09,NA,positive,No Fragments,,
6,358.1639,904.96,659134.19,300419.78,345849.22,175617.34,570069.19,174276.03,383025.72,432502.41,583344.13,206749.66,positive,No Fragments,"(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Alosetron,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB15104,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
7,380.1458,905.24,350100.38,270301.81,219935.03,138481.02,447617.34,72580.04,352576.13,365256.88,340454.91,338232.78,positive,No Fragments,"(2S)-4'-Hydroxy-5,7,3'-trimethoxyflavan,2'-Hydroxy-3',4',6'-trimethoxydihydrochalcone,2'-O-Methylodoratol,2-(3,5-Dimethoxyphenyl)-3,4-dihydro-7-methoxy-2H-1-benzopyran-5-ol,2-Hydroxy-3,4,6-trimethoxydihydrochalcone,2-Hydroxy-4,5,6-trimethoxydihydrochalcone,4,2',6'-Trihydroxy-4'-methoxy-3',5'-dimethyldihydrochalcone,4-Hydroxy-5,7,4'-trimethoxyflavan,5'-Hydroxy-3',4',7-trimethoxyflavan,7-Hydroxy-2',3',4'-trimethoxyisoflavan,7-Hydroxy-2',4',5'-trimethoxyisoflavan,Combretastatin A-4,Deacetylcolchicine,Flavokawin A,Kuhlmanniquinol,Loureirin B,O-Methylodoratol,Sorgolactone,Verimol A,Verimol B","C09186,C09774,C16712,C20268,HMDB38323,HMDB38324,HMDB38780,HMDB39510,HMDB39607,HMDB40534,LMPK12020173,LMPK12020260,LMPK12020279,LMPK12100071,LMPK12120544,LMPK12120550,LMPK12120558,LMPK12120573,LMPK12120604,LMPK12120609,LMPK12120610"
8,402.1277,905.06,355398.47,243417.81,246547.3,140896.5,558778.19,156987.55,298229.69,389146.53,379696.5,246873.34,positive,No Fragments,,
9,187.0304,904.32,188286.83,200151.91,112748.26,NA,205501.92,NA,160399.34,173012.19,NA,87785.41,positive,No Fragments,Thien-2-ylacetonitrile,C03311
10,188.0931,436.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,6540312.5,positive,Annotate in FrAnK,,
